image_path,label
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(44).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(49).jpg,0
data\raw\soyabean_dataset\Bacterial Blight\BB(4).jpg,0
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(75).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(38).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(25).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(7).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(86).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(35).jpg,0
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(7).jpg,1
data\raw\soyabean_dataset\Rust\RUST(81).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(42).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(69).jpg,0
data\raw\soyabean_dataset\Rust\RUST(70).jpg,3
data\raw\soyabean_dataset\Bacterial Blight\BB(1).jpg,0
data\raw\soyabean_dataset\Rust\RUST(54).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(65).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(67).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(87).jpg,1
data\raw\soyabean_dataset\Rust\RUST(91).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(66).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(82).jpg,0
data\raw\soyabean_dataset\Rust\RUST(84).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(76).jpg,2
data\raw\soyabean_dataset\Rust\RUST(77).jpg,3
data\raw\soyabean_dataset\Rust\RUST(47).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(21).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(40).jpg,0
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(97).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(83).jpg,0
data\raw\soyabean_dataset\Bacterial Blight\BB(60).jpg,0
data\raw\soyabean_dataset\Rust\RUST(31).jpg,3
data\raw\soyabean_dataset\Rust\RUST(17).jpg,3
data\raw\soyabean_dataset\Rust\RUST(6).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(99).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(70).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(48).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(8).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(28).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(22).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(52).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(13).jpg,0
data\raw\soyabean_dataset\Rust\RUST(72).jpg,3
data\raw\soyabean_dataset\Bacterial Blight\BB(79).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(44).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(7).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(96).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(74).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(17).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(16).jpg,4
data\raw\soyabean_dataset\Rust\RUST(5).jpg,3
data\raw\soyabean_dataset\Rust\RUST(93).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(48).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(33).jpg,0
data\raw\soyabean_dataset\Bacterial Blight\BB(21).jpg,0
data\raw\soyabean_dataset\Rust\RUST(8).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(94).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(79).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(76).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(33).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(45).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(56).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(14).jpg,1
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(62).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(35).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(32).jpg,0
data\raw\soyabean_dataset\Rust\RUST(37).jpg,3
data\raw\soyabean_dataset\Rust\RUST(73).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(87).jpg,2
data\raw\soyabean_dataset\Rust\RUST(20).jpg,3
data\raw\soyabean_dataset\Bacterial Blight\BB(34).jpg,0
data\raw\soyabean_dataset\Rust\RUST(4).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(84).jpg,1
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(56).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(4).jpg,2
data\raw\soyabean_dataset\Healthy\HEALTHY(14).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(15).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(67).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(27).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(3).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(36).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(83).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(81).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(72).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(66).jpg,0
data\raw\soyabean_dataset\Rust\RUST(32).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(64).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(20).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(99).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(45).jpg,2
data\raw\soyabean_dataset\Rust\RUST(66).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(55).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(42).jpg,0
data\raw\soyabean_dataset\Rust\RUST(68).jpg,3
data\raw\soyabean_dataset\Rust\RUST(82).jpg,3
data\raw\soyabean_dataset\Rust\RUST(98).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(78).jpg,2
data\raw\soyabean_dataset\Healthy\HEALTHY(8).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(37).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(13).jpg,4
data\raw\soyabean_dataset\Rust\RUST(60).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(37).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(46).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(57).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(68).jpg,2
data\raw\soyabean_dataset\Healthy\HEALTHY(61).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(66).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(36).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(25).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(85).jpg,2
data\raw\soyabean_dataset\Rust\RUST(61).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(8).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(95).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(49).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(27).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(32).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(50).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(55).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(60).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(2).jpg,0
data\raw\soyabean_dataset\Bacterial Blight\BB(98).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(34).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(72).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(29).jpg,2
data\raw\soyabean_dataset\Healthy\HEALTHY(92).jpg,2
data\raw\soyabean_dataset\Healthy\HEALTHY(20).jpg,2
data\raw\soyabean_dataset\Healthy\HEALTHY(51).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(68).jpg,0
data\raw\soyabean_dataset\Rust\RUST(1).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(61).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(23).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(19).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(59).jpg,4
data\raw\soyabean_dataset\Rust\RUST(51).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(18).jpg,2
data\raw\soyabean_dataset\Rust\RUST(15).jpg,3
data\raw\soyabean_dataset\Rust\RUST(41).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(23).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(16).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(43).jpg,1
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(91).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(10).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(15).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(16).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(2).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(30).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(24).jpg,0
data\raw\soyabean_dataset\Bacterial Blight\BB(81).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(21).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(39).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(44).jpg,0
data\raw\soyabean_dataset\Bacterial Blight\BB(45).jpg,0
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(63).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(97).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(58).jpg,2
data\raw\soyabean_dataset\Bacterial Blight\BB(25).jpg,0
data\raw\soyabean_dataset\Rust\RUST(46).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(7).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(35).jpg,4
data\raw\soyabean_dataset\Rust\RUST(86).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(80).jpg,1
data\raw\soyabean_dataset\Rust\RUST(79).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(61).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(77).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(9).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(40).jpg,2
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(44).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(59).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(59).jpg,0
data\raw\soyabean_dataset\Rust\RUST(30).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(97).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(91).jpg,4
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(78).jpg,4
data\raw\soyabean_dataset\Bacterial Blight\BB(52).jpg,0
data\raw\soyabean_dataset\Healthy\HEALTHY(94).jpg,2
data\raw\soyabean_dataset\Rust\RUST(63).jpg,3
data\raw\soyabean_dataset\Bacterial Blight\BB(72).jpg,0
data\raw\soyabean_dataset\Rust\RUST(22).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(37).jpg,2
data\raw\soyabean_dataset\Healthy\HEALTHY(63).jpg,2
data\raw\soyabean_dataset\Healthy\HEALTHY(93).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(26).jpg,1
data\raw\soyabean_dataset\Bacterial Blight\BB(50).jpg,0
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(89).jpg,1
data\raw\soyabean_dataset\Healthy\HEALTHY(17).jpg,2
data\raw\soyabean_dataset\Rust\RUST(23).jpg,3
data\raw\soyabean_dataset\Healthy\HEALTHY(54).jpg,2
data\raw\soyabean_dataset\Healthy\HEALTHY(84).jpg,2
data\raw\soyabean_dataset\Rust\RUST(10).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(104).jpg,4
data\raw\soyabean_dataset\Rust\RUST(18).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(28).jpg,1
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(5).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(98).jpg,4
data\raw\soyabean_dataset\Healthy\HEALTHY(97).jpg,2
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(9).jpg,1
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(98).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(27).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(3).jpg,1
data\raw\soyabean_dataset\Rust\RUST(38).jpg,3
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(63).jpg,1
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(55).jpg,4
data\raw\soyabean_dataset\Rust\RUST(19).jpg,3
data\raw\soyabean_dataset\Bacterial Blight\BB(14).jpg,0
data\raw\soyabean_dataset\Rust\RUST(35).jpg,3
data\raw\soyabean_dataset\Rust\RUST(7).jpg,3
data\raw\soyabean_dataset\Sudden Death Syndrome\SDS(49).jpg,4
data\raw\soyabean_dataset\Cercospora Leaf Blight\CLB(18).jpg,1
